show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,description,plataforma,age_category,imdbRating
s768,TV Show,Bug Juice: My Adventures at Camp,Desconocido,No Disponible,2019-11-12,2017,TV-G,1 Season,"Coming of Age, Docuseries, Family",Camp Waziyatah opens its doors for a fun summer.,disney,Para todas las edades / niños pequeños,7.3
s791,TV Show,Chip 'n Dale's Rescue Rangers,Desconocido,"Corey Burton, Peter Cullen, Jim Cummings, Tress MacNeille",2019-11-12,1989,TV-G,1 Season,"Action-Adventure, Animation, Comedy",Chip and Dale head a small group of animal characters who monitor the human and animal communities.,disney,Para todas las edades / niños pequeños,7.6
s800,TV Show,Coop & Cami Ask The World (Shorts),Desconocido,No Disponible,2019-11-12,2018,TV-G,1 Season,"Comedy, Family, Game Show / Competition","Cooper and Cami Wrather co-host ""Would You Wrather.""",disney,Para todas las edades / niños pequeños,N/A
s803,TV Show,Crash & Bernstein,Desconocido,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",2019-11-12,2012,TV-Y7,2 Seasons,"Comedy, Fantasy, Kids","The only boy in a family, Wyatt creates a puppet brother.",disney,Para niños mayores,7.7
s806,TV Show,Darkwing Duck,Desconocido,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",2019-11-12,1991,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack.",disney,Para niños mayores,7.6
s818,TV Show,Disney Bizaardvark,Desconocido,"Madison Hu, Olivia Rodrigo, Jake Paul, DeVore Ledridge, Ethan Wacker",2019-11-12,2015,TV-PG,3 Seasons,"Buddy, Comedy, Family",Paige and Frankie produce an online comedy channel.,disney,Para niños mayores,No se encontró información para: Disney%20Bizaardvark
s821,TV Show,Disney Descendants Wicked World (Shorts),Desconocido,No Disponible,2019-11-12,2015,TV-G,2 Seasons,"Animation, Coming of Age, Fantasy",Descendants continues with new animated shorts!,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Descendants%20Wicked%20World%20(Shorts)
s822,TV Show,Disney DuckTales (Shorts),Desconocido,No Disponible,2019-11-12,2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",The McDuck family welcomes you to Duckburg!,disney,Para niños mayores,No se encontró información para: Disney%20DuckTales%20(Shorts)
s823,TV Show,Disney Evermoor,Desconocido,"Naomi Sequeira, Jordan Loughran, Belinda Stewart-Wilson, Dan Fredenburgh, George Sear, Georgie Farmer",2019-11-12,2017,TV-PG,1 Season,Series,Tara Crossley moves to Evermoor and realizes the English countryside is not as sleepy as it seems.,disney,Para niños mayores,No se encontró información para: Disney%20Evermoor
s824,TV Show,Disney Family Sundays,Desconocido,No Disponible,2019-11-12,2019,TV-G,1 Season,"Anthology, Family, Lifestyle",Amber Kemp-Gerstel shares her love of crafting in a series of Disney-themed DIY projects.,disney,Para todas las edades / niños pequeños,5.6
s825,TV Show,Disney Fast Layne,Desconocido,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",2019-11-12,2018,TV-G,1 Season,"Action-Adventure, Animation, Comedy",Twelve-year-old Layne Reed discovers a talking car.,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Fast%20Layne
s827,TV Show,Disney Gravity Falls,Desconocido,"Kristen Schaal, Jason Morgan, Alex Hirsch",2019-11-12,2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Dipper and Mabel spend the summer with Grunkle Stan.,disney,Para niños mayores,No se encontró información para: Disney%20Gravity%20Falls
s828,TV Show,Disney Gravity Falls (Shorts),Desconocido,No Disponible,2019-11-12,2012,TV-G,1 Season,"Animation, Anthology, Comedy",Twins Dipper and Mabel enter the mysterious town of Gravity Falls for the summer.,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Gravity%20Falls%20(Shorts)
s829,TV Show,Disney Jake and the Never Land Pirates,Desconocido,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",2019-11-12,2010,TV-Y,4 Seasons,"Action-Adventure, Animation, Fantasy",Jake sails for a treasure hunt against Captain Hook.,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Jake%20and%20the%20Never%20Land%20Pirates
s830,TV Show,Disney JONAS,Desconocido,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",2019-11-12,2008,TV-G,2 Seasons,"Comedy, Family, Kids","JONAS is the hottest rock band on the planet! Band members Nick, Kevin, and Joe are superstar idols.",disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20JONAS
s831,TV Show,Disney Junior Music Nursery Rhymes,Desconocido,No Disponible,2019-11-12,2017,TV-Y,2 Seasons,"Animation, Kids, Musical",Nursery Rhymes re-imagined with Disney Junior!,disney,Para todas las edades / niños pequeños,6.0
s832,TV Show,Disney K.C. Undercover,Desconocido,"Zendaya , Veronica Dunne, Kamil McFadden, Tammy Townsend, Kadeem Hardison",2019-11-12,2014,TV-Y7,3 Seasons,"Action-Adventure, Comedy, Kids",K.C. joins her spy family as its newest secret agent.,disney,Para niños mayores,No se encontró información para: Disney%20K.C.%20Undercover
s833,TV Show,Disney Lab Rats: Elite Force,Desconocido,"William Brent, Bradley Perry, Jake Short, Paris Berelc, Kelli Berglund",2019-11-12,2015,TV-Y7,1 Season,"Action-Adventure, Comedy, Coming of Age",The Lab Rats join forces with the Mighty Med team.,disney,Para niños mayores,No se encontró información para: Disney%20Lab%20Rats:%20Elite%20Force
